1m,reportedEPS,totalNonCurrentAssets,depreciation,proceedsFromRepaymentsOfShortTermDebt,currentAccountsPayable,symbol,timestamp
-0.046360424028268565,0.9032258064516128,0.7644138502147921,0.024739183190824746,-6.026117304109923,0.09055641175532769,MRNA,2020-09
-0.023091133004926045,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,PFE,2016-12
0.0017193947730400616,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,COF,2016-12
0.07539188852948508,-0.04347826086956508,0.22927631578947372,0.024739183190824746,-6.026117304109923,0.05229665110172546,SCHW,2019-06
0.11714449288765572,0.05263157894736836,0.036785372779693404,0.06040268456375841,-1.7875,0.10977080820265384,FB,2020-06
0.03401325056080129,0.08500752352133878,0.265283070804482,0.024739183190824746,-6.026117304109923,0.05229665110172546,DEO,2021-06
-0.08078393881453161,-0.06566431420681196,-0.05530991485911507,0.024739183190824746,0.020316027088036037,0.0,ENB,2017-09
0.04186489058039955,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,PG,2016-12
0.10060639470782795,0.051948051948051965,-0.016181603828105184,0.024739183190824746,-2.426908752327747,0.08172209332302138,PFE,2018-06
0.21478634411033237,0.30557597395778635,78.96354694054679,0.024739183190824746,-6.026117304109923,0.05229665110172546,TD,2020-10
0.053361053361053346,0.013762902721301318,-1.0,0.024739183190824746,-6.026117304109923,0.05229665110172546,UL,2019-03
-0.06921029281277724,-0.28498134328358216,0.0,0.024739183190824746,-6.026117304109923,0.05229665110172546,SE,2018-03
-0.25815574184425816,0.0,0.2551932759535307,0.25806451612903225,0.0,0.3509876275233341,SQ,2018-09
0.11068446666964316,0.3818181818181816,-0.061778432817489515,0.024739183190824746,0.9854271356783919,0.5880473982483256,AAPL,2019-09
-0.144476550344521,-0.4565217391304348,0.0563844258408539,0.024739183190824746,-6.026117304109923,0.05229665110172546,RBLX,2021-06
0.1951846561926136,0.07905138339920947,0.019891500904159143,-0.04761904761904767,-6.026117304109923,0.06842105263157894,SPGI,2020-03
0.06432556613062035,-7.25,-0.016695636263836744,0.024739183190824746,-6.026117304109923,0.05229665110172546,ABB,2021-03
0.03647870297944955,-0.27391304347826084,0.015317128647633904,0.024739183190824746,-339.5,-0.0871677236540278,JNJ,2020-06
0.04684975767366728,2.6496350364963503,0.02517717999921687,0.024739183190824746,-6.026117304109923,0.05229665110172546,UBS,2018-12
-0.012801428996725428,-0.02898550724637672,-0.005515176139527234,0.024739183190824746,-1.988433734939759,0.013557323902151586,PFE,2017-06
-0.026450269707580243,0.07954545454545459,-0.00865712957371656,-0.10583153347732177,-0.09964093357271098,0.19186046511627897,CME,2019-09
-0.023678891134854108,0.16445527574690844,-0.0197263397947548,0.03007518796992481,-6.026117304109923,0.047210300429184615,TXN,2018-03
0.2687771570453137,3.0137254901960784,-0.02239311365848018,0.024739183190824746,-6.026117304109923,0.05229665110172546,PDD,2019-09
0.02807913209955326,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,UBS,2016-12
0.07067615017556506,0.2093023255813955,0.048906784646103096,0.07356608478802995,-1.0,0.2276466317518273,DHR,2020-12
0.004374240583232103,0.13265306122448983,0.024324091082810417,0.024739183190824746,-1.7473366834170854,0.0304073436603558,LLY,2017-06
0.22024209818426366,-0.05882352941176472,-0.6435031215356788,-0.03260869565217395,0.0,1.1587301587301586,UBER,2019-12
0.00785406637952879,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,PYPL,2016-12
-0.0786316472114138,0.04174015285126398,-0.3148681758828621,0.024739183190824746,-6.026117304109923,0.05229665110172546,UL,2020-09
0.18855625301786572,-0.7863695937090432,0.21565818241172208,0.024739183190824746,-6.026117304109923,0.05229665110172546,JD,2017-12
0.011852615305333769,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,DUK,2016-12
0.10030844660305904,-0.5212947189097104,-0.01792462166701514,0.017426352913283205,-1.0,0.14918910762646442,BKNG,2017-12
0.24063892190479463,3.1369230769230763,0.11688584324251372,0.024739183190824746,0.0,0.32755512943432397,AMZN,2017-12
0.14274905422446427,0.12280701754385981,-0.0017893462206504118,0.024739183190824746,-6.026117304109923,0.05229665110172546,TSM,2017-12
0.13797976553717684,0.041095890410958846,0.06454807934891282,0.0,0.17512878937982967,0.0018744409580437882,TSLA,2017-12
0.0187528146215874,-0.06812842599843372,0.10323736562461394,0.024739183190824746,-6.026117304109923,-0.15258108725445407,GOOGL,2019-03
0.03104916117185552,104.62251949273137,78.01866746218577,0.024739183190824746,-6.026117304109923,0.05229665110172546,SYK,2016-12
-0.0604026845637583,0.0,-1.0,0.024739183190824746,-6.026117304109923,0.05229665110172546,BTI,2019-03
0.061922596754057535,-0.05769230769230771,0.27775780095089697,0.02360622802611756,-1.8111510791366907,-0.009747706422018387,CMCSA,2017-12
-0.04169825625473833,-0.7567567567567568,-0.008875417494816684,-0.0022988505747126853,-6.026117304109923,-0.599189091196184,TJX,2020-05
0.007364544976327991,0.03571428571428559,-0.00533110102656742,0.024739183190824746,-6.026117304109923,0.05229665110172546,ABB,2018-12
0.02413348610713273,-0.16149068322981364,-0.12477161025185346,0.024739183190824746,0.0,0.0,DIS,2019-06
0.004769767015226689,-0.8888888888888888,0.004581484982910444,0.0,1.9846153846153847,-0.012765957446808529,UBER,2021-03
