fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,symbol
2021-09-30,USD,20200000000,2217000000,None,19386000000,21176000000,2989000000,3223000000,17604000000,1429000000,20551000000,835000000,-20382000000,-4000000000,19748000000,19748000000,None,3640000000,3640000000,None,544000000,6470000000,None,-19204000000,None,653000000,None,20551000000,AAPL
2021-06-30,USD,21094000000,543000000,None,-2275000000,2422000000,2832000000,2093000000,869000000,-13000000,21744000000,3572000000,-29396000000,6000000000,22900000000,22900000000,None,3767000000,3767000000,None,0,0,None,-22900000000,None,21744000000,None,21744000000,AAPL
2021-03-31,USD,23981000000,708000000,None,-28280000000,-24501000000,2797000000,2269000000,-25584000000,276000000,23630000000,-10368000000,-11326000000,0,18548000000,18548000000,None,3447000000,3447000000,None,561000000,13923000000,None,-17987000000,None,23630000000,None,23630000000,AAPL
2020-12-31,USD,38763000000,619000000,None,30970000000,25615000000,2666000000,3500000000,21139000000,950000000,28755000000,-8584000000,-32249000000,44000000,24775000000,24775000000,None,3613000000,3613000000,None,0,0,None,-24775000000,None,-2070000000,None,28755000000,AAPL
2020-09-30,USD,20576000000,1127000000,None,12206000000,8329000000,2702000000,1784000000,5364000000,137000000,24689000000,5531000000,-21357000000,-7153000000,17187000000,17187000000,None,3511000000,3511000000,None,450000000,5456000000,None,-16737000000,None,24689000000,None,12673000000,AAPL
2020-06-30,USD,16271000000,388000000,None,-474000000,-44000000,2752000000,1565000000,1373000000,689000000,11253000000,-5165000000,-19116000000,-365000000,15891000000,15891000000,None,3656000000,3656000000,None,0,8425000000,None,-15891000000,None,10865000000,None,11253000000,AAPL
2020-03-31,USD,13311000000,353000000,None,-10207000000,-8205000000,2786000000,1853000000,-9290000000,-727000000,11249000000,9013000000,-20940000000,7550000000,18574000000,18574000000,None,3375000000,3375000000,None,428000000,0,None,-18146000000,None,10896000000,None,11249000000,AAPL
2019-12-31,USD,30516000000,1120000000,None,5410000000,1165000000,2816000000,2107000000,-5917000000,28000000,22236000000,-13668000000,-25407000000,-1958000000,20706000000,20706000000,None,3539000000,3539000000,None,2000000,2210000000,None,-20704000000,None,-8559000000,None,22236000000,AAPL
2019-09-30,USD,19910000000,860000000,None,22085000000,19925000000,3179000000,2777000000,19320000000,785000000,24313000000,-798000000,-21039000000,-7902000000,17444000000,17444000000,None,3479000000,3479000000,None,390000000,6963000000,None,-17054000000,None,24313000000,None,13686000000,AAPL
2019-06-30,USD,11636000000,801000000,None,-5496000000,-2698000000,2933000000,2000000000,214000000,-1502000000,10044000000,27502000000,-26804000000,-3980000000,16955000000,16955000000,None,3629000000,3629000000,None,1000000,0,None,-16954000000,None,10044000000,None,10044000000,AAPL
2019-03-31,USD,11155000000,926000000,None,-15536000000,-10914000000,3040000000,2363000000,-10675000000,-70000000,11561000000,13348000000,-29457000000,-84000000,23702000000,23702000000,None,3443000000,3443000000,None,390000000,0,None,-23312000000,None,11561000000,None,11561000000,AAPL
2018-12-31,USD,26690000000,836000000,None,-8301000000,-10073000000,3395000000,3355000000,-12035000000,1076000000,19965000000,5844000000,-13676000000,12000000,8796000000,8796000000,None,3568000000,3568000000,None,0,0,None,-8796000000,None,18858000000,None,19965000000,AAPL
2018-09-30,USD,19523000000,902000000,None,21898000000,21040000000,2754000000,3041000000,22624000000,-1942000000,24084000000,-3001000000,-22580000000,-54000000,19104000000,19104000000,None,3530000000,3530000000,None,341000000,0,None,-18763000000,None,-6058000000,None,14125000000,AAPL
2018-06-30,USD,14488000000,764000000,None,-649000000,1265000000,2665000000,3267000000,3946000000,-1693000000,11519000000,3947000000,-31523000000,-22000000,20783000000,20783000000,None,3653000000,3653000000,None,1000000,0,None,-20782000000,None,-13088000000,None,11519000000,AAPL
2018-03-31,USD,15130000000,733000000,None,-26512000000,-24371000000,2739000000,4041000000,-28468000000,3241000000,13822000000,28710000000,-26272000000,-2000000,22756000000,22756000000,None,3190000000,3190000000,None,0,0,None,-22429000000,None,17568000000,None,13822000000,AAPL
2017-12-31,USD,28293000000,623000000,None,52928000000,14993000000,2745000000,2964000000,15230000000,-434000000,20065000000,-13590000000,-7501000000,4000000,10095000000,10095000000,None,3339000000,3232000000,None,None,6969000000,None,-10095000000,None,7202000000,None,20065000000,AAPL
2017-09-30,USD,15749000000,636000000,None,16410000000,16838000000,2484000000,4209000000,13040000000,1709000000,19931000000,-9942000000,-4089000000,-28000000,7795000000,7795000000,None,3270000000,3252000000,None,281000000,6937000000,None,-7514000000,None,1718000000,None,10714000000,AAPL
2017-06-30,USD,8672000000,449000000,None,-1030000000,4571000000,2354000000,2277000000,2002000000,236000000,17488000000,-3180000000,-2078000000,3974000000,7093000000,7093000000,None,3365000000,3281000000,None,1000000,10750000000,None,-7092000000,None,3414000000,None,8717000000,AAPL
2017-03-31,USD,12570000000,510000000,None,-10990000000,-7725000000,2332000000,2889000000,-7373000000,198000000,20591000000,-14202000000,418000000,-1012000000,7161000000,7161000000,None,2988000000,2988000000,None,273000000,10975000000,None,-6888000000,None,-1214000000,None,11029000000,AAPL
2016-12-31,USD,27234000000,497000000,None,4448000000,704000000,2987000000,3420000000,-1322000000,580000000,17891000000,-19122000000,-12225000000,4770000000,10851000000,10851000000,None,3130000000,3042000000,None,0,0,None,-10851000000,None,-4113000000,None,17891000000,AAPL
2021-09-30,USD,24540000000,670000000,None,-4596000000,-10051000000,665000000,5810000000,-10486000000,777000000,20505000000,-3250000000,-16276000000,None,7684000000,7684000000,None,4206000000,4206000000,None,612000000,None,None,-7072000000,None,4941000000,-73000000,20505000000,MSFT
2021-06-30,USD,22710000000,646000000,None,16880000000,15093000000,9955000000,6452000000,11606000000,388000000,16458000000,-10853000000,-11371000000,None,7177000000,7177000000,None,4214000000,4214000000,None,450000000,None,None,-6727000000,None,522000000,36000000,16458000000,MSFT
2021-03-31,USD,22179000000,633000000,None,3146000000,446000000,616000000,5089000000,-290000000,329000000,15457000000,-9684000000,-13192000000,0,6930000000,6930000000,None,4221000000,4221000000,None,396000000,None,None,-6534000000,None,-730000000,-33000000,15457000000,MSFT
2020-12-31,USD,12516000000,576000000,None,-2914000000,3989000000,627000000,4174000000,4008000000,-788000000,15463000000,-1669000000,-13634000000,0,6535000000,6535000000,None,4230000000,4230000000,None,302000000,None,None,-6233000000,None,-2773000000,14000000,15463000000,MSFT
2020-09-30,USD,19335000000,583000000,None,-6439000000,-7919000000,589000000,4907000000,-8843000000,808000000,13893000000,-5371000000,-10289000000,0,6743000000,6743000000,None,3856000000,3856000000,None,545000000,None,None,-6198000000,None,3629000000,-46000000,13893000000,MSFT
2020-06-30,USD,18673000000,479000000,None,14318000000,12068000000,11288000000,4744000000,9355000000,251000000,13407000000,-4462000000,-12262000000,0,5791000000,5791000000,None,3865000000,3865000000,None,340000000,None,None,-5451000000,None,13407000000,-83000000,11202000000,MSFT
2020-03-31,USD,17504000000,592000000,None,1160000000,-1290000000,491000000,3767000000,-891000000,-181000000,10752000000,51000000,-14645000000,0,7059000000,7059000000,None,3876000000,3876000000,None,342000000,None,None,-6717000000,None,2846000000,-64000000,10752000000,MSFT
2019-12-31,USD,10680000000,563000000,None,-1500000000,3756000000,574000000,3545000000,4203000000,-799000000,11649000000,-6036000000,-8915000000,0,5206000000,5206000000,None,3886000000,3886000000,None,234000000,None,None,-4972000000,None,-4253000000,18000000,11649000000,MSFT
2019-09-30,USD,13818000000,531000000,None,-9685000000,-8758000000,559000000,3385000000,-10090000000,561000000,10678000000,-1776000000,-10209000000,0,4912000000,4912000000,None,3510000000,3510000000,None,427000000,None,None,-4485000000,None,1761000000,-72000000,10678000000,MSFT
2019-06-30,USD,16108000000,509000000,None,16754000000,11902000000,10100000000,4051000000,10070000000,113000000,12405000000,-7257000000,-8686000000,0,4633000000,4633000000,None,3521000000,3521000000,None,308000000,None,None,-4325000000,None,144000000,-21000000,13187000000,MSFT
2019-03-31,USD,13520000000,490000000,None,1087000000,59000000,431000000,2565000000,-460000000,-12000000,8809000000,-1363000000,-7601000000,0,4753000000,4753000000,None,3526000000,3526000000,None,274000000,None,None,-4479000000,None,4574000000,18000000,8809000000,MSFT
2018-12-31,USD,8900000000,466000000,None,-2002000000,1388000000,530000000,3707000000,2396000000,-1654000000,8420000000,-4200000000,-13216000000,0,6413000000,6413000000,None,3544000000,3544000000,None,200000000,None,None,-6213000000,None,-8499000000,17000000,8420000000,MSFT
2018-09-30,USD,13657000000,452000000,None,-6206000000,-7582000000,556000000,3602000000,-9194000000,956000000,8824000000,-2953000000,-7384000000,0,3744000000,3744000000,None,3220000000,3220000000,None,360000000,None,None,-3384000000,None,3191000000,-129000000,8824000000,MSFT
2018-06-30,USD,11418000000,1300000000,None,12022000000,10049000000,8200000000,3980000000,9188000000,572000000,10379000000,-2670000000,-6039000000,0,2362000000,2362000000,None,3226000000,3226000000,None,255000000,None,None,-2107000000,None,2725000000,16000000,8873000000,MSFT
2018-03-31,USD,12151000000,90000000,None,1034000000,-848000000,560000000,2934000000,-1285000000,75000000,7424000000,3844000000,-19658000000,-7373000000,3781000000,3781000000,None,3232000000,3232000000,None,251000000,None,None,-3530000000,None,-3638000000,25000000,7424000000,MSFT
2017-12-31,USD,7875000000,123000000,None,16337000000,2693000000,562000000,2586000000,3908000000,-1205000000,-6302000000,-331000000,-1552000000,3759000000,2008000000,2008000000,None,3238000000,3238000000,None,189000000,None,None,-1819000000,None,5975000000,-17000000,-6302000000,MSFT
2017-09-30,USD,12440000000,184000000,None,-3362000000,-6330000000,563000000,2132000000,-7949000000,1023000000,6576000000,-6904000000,-6341000000,-3710000000,2570000000,2570000000,None,3003000000,3003000000,None,307000000,None,None,-2263000000,None,-779000000,26000000,6576000000,MSFT
2017-06-30,USD,11005000000,1665000000,None,26515000000,6567000000,6700000000,2283000000,6875000000,199000000,5330000000,-7369000000,-2701000000,3484000000,1765000000,1765000000,None,3009000000,3009000000,None,221000000,None,None,-1544000000,None,950000000,15000000,8069000000,MSFT
2017-03-31,USD,10660000000,118000000,None,17411000000,-1420000000,560000000,1695000000,-1487000000,16000000,4801000000,-6191000000,-6236000000,-1302000000,2062000000,2062000000,None,3012000000,3012000000,None,179000000,None,None,-1883000000,None,-1755000000,12000000,5486000000,MSFT
2016-12-31,USD,6293000000,109000000,None,13557000000,513000000,315000000,1988000000,2711000000,-1132000000,5200000000,-14751000000,3016000000,-3755000000,3599000000,3599000000,None,3024000000,3024000000,None,131000000,None,None,-3468000000,None,-5460000000,-18000000,6267000000,MSFT
2021-09-30,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,None,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000,GOOG
2021-06-30,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,None,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000,GOOG
2021-03-31,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,None,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000,GOOG
2020-12-31,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,None,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000,GOOG
2020-09-30,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,None,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000,GOOG
2020-06-30,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,None,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000,GOOG
2020-03-31,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,None,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000,GOOG
2019-12-31,USD,14427000000,449000000,None,5243000000,4199000000,3413000000,6052000000,4365000000,None,10671000000,-4703000000,-7326000000,None,6098000000,6098000000,None,None,None,None,None,None,None,-6098000000,None,2398000000,None,10671000000,GOOG
2019-09-30,USD,15466000000,442000000,None,1851000000,612000000,2920000000,6732000000,1000000,None,7068000000,-8945000000,-6954000000,None,5696000000,5696000000,None,None,None,None,None,None,None,-5696000000,None,-106000000,None,7068000000,GOOG
2019-06-30,USD,12627000000,396000000,None,1276000000,1057000000,2835000000,6126000000,1146000000,None,9947000000,-10455000000,-4746000000,None,3577000000,3577000000,None,None,None,None,None,None,None,-3577000000,None,3425000000,None,9947000000,GOOG
2019-03-31,USD,12000000000,374000000,None,-735000000,-907000000,2613000000,4638000000,-1172000000,None,6657000000,-5388000000,-4183000000,None,3025000000,3025000000,None,None,None,None,None,None,None,-3025000000,None,2447000000,18000000,6657000000,GOOG
2018-12-31,USD,12987000000,None,None,3030000000,2854000000,2580000000,7081000000,2887000000,None,8948000000,-6876000000,-2746000000,None,2650000000,2650000000,None,None,None,None,None,None,None,-2650000000,None,3258000000,-107000000,8948000000,GOOG
2018-09-30,USD,13210000000,None,None,2150000000,1154000000,2355000000,5282000000,670000000,None,9192000000,-10408000000,-3478000000,None,2200000000,2200000000,None,None,None,None,None,None,None,-2200000000,None,-705000000,-29000000,9192000000,GOOG
2018-06-30,USD,10132000000,None,None,5762000000,827000000,2114000000,5477000000,312000000,None,3195000000,-3374000000,-4937000000,None,2052000000,2052000000,None,None,None,None,None,None,None,-2052000000,None,1490000000,-331000000,3195000000,GOOG
2018-03-31,USD,11642000000,None,None,-890000000,-1459000000,1986000000,7299000000,-1700000000,None,9401000000,-7846000000,-2018000000,None,2173000000,2173000000,None,None,None,None,None,None,None,-2173000000,None,1943000000,165000000,9401000000,GOOG
2017-12-31,USD,10268000000,None,None,2605000000,3127000000,2026000000,4307000000,3049000000,None,-3083000000,-6974000000,-3178000000,None,2101000000,2101000000,None,None,None,None,None,None,None,-2101000000,None,134000000,18000000,-3020000000,GOOG
2017-09-30,USD,9872000000,None,None,1406000000,3236000000,1761000000,3538000000,1150000000,None,6701000000,-14404000000,-706000000,None,0,0,None,None,None,None,None,None,None,0,None,-5130000000,108000000,6732000000,GOOG
2017-06-30,USD,7403000000,None,None,3655000000,836000000,1625000000,2831000000,836000000,None,3511000000,-7172000000,-2740000000,None,1618000000,1618000000,None,None,None,None,None,None,None,-1618000000,None,-2421000000,88000000,3524000000,GOOG
2017-03-31,USD,9548000000,None,None,-1654000000,-1267000000,1503000000,2508000000,-1267000000,None,5377000000,-2851000000,-1674000000,None,1127000000,1127000000,None,None,None,None,None,None,None,-1127000000,None,5214000000,191000000,5426000000,GOOG
2016-12-31,USD,9413000000,18000000,None,1230000000,2279000000,1687000000,3078000000,2279000000,None,5340000000,-4702000000,-892000000,None,0,0,None,None,None,None,None,None,None,298000000,None,3512000000,-307000000,5333000000,GOOG
2021-09-30,USD,25539000000,None,None,3072000000,3664000000,3304000000,6819000000,2409000000,None,18936000000,-10050000000,-15254000000,None,12610000000,12610000000,None,None,None,None,None,None,None,-12610000000,None,18936000000,None,18936000000,GOOGL
2021-06-30,USD,21890000000,None,None,3598000000,3860000000,2945000000,5496000000,3661000000,None,18525000000,-9074000000,-15991000000,None,12796000000,12796000000,None,None,None,None,None,None,None,-12796000000,None,18525000000,None,18525000000,GOOGL
2021-03-31,USD,19289000000,None,None,-4375000000,-2801000000,2753000000,5942000000,-2794000000,None,17930000000,-5383000000,-13606000000,None,11395000000,11395000000,None,None,None,None,None,None,None,-11395000000,None,300000000,None,17930000000,GOOGL
2020-12-31,USD,22677000000,554000000,None,5783000000,6183000000,3725000000,5479000000,5445000000,None,15227000000,-7281000000,-9270000000,None,7904000000,7904000000,None,None,None,None,None,None,None,-7904000000,None,6126000000,None,15227000000,GOOGL
2020-09-30,USD,17003000000,527000000,None,3690000000,3834000000,3478000000,5406000000,3601000000,None,11247000000,-15197000000,546000000,None,7897000000,7897000000,None,None,None,None,None,None,None,-7897000000,None,5314000000,None,11247000000,GOOGL
2020-06-30,USD,13993000000,493000000,None,1689000000,324000000,3386000000,5391000000,80000000,None,6959000000,-8448000000,-7498000000,None,6852000000,6852000000,None,None,None,None,None,None,None,-6852000000,None,1075000000,None,6959000000,GOOGL
2020-03-31,USD,11451000000,430000000,None,-4329000000,-2487000000,3108000000,6005000000,-2602000000,None,6836000000,-1847000000,-8186000000,None,8496000000,8496000000,None,None,None,None,None,None,None,-8496000000,None,1418000000,None,6836000000,GOOGL
2019-12-31,USD,14427000000,449000000,None,5243000000,4199000000,3413000000,6052000000,4365000000,None,10671000000,-4703000000,-7326000000,None,6098000000,6098000000,None,None,None,None,None,None,None,-6098000000,None,2398000000,None,10671000000,GOOGL
2019-09-30,USD,15466000000,442000000,None,1851000000,612000000,2920000000,6732000000,1000000,None,7068000000,-8945000000,-6954000000,None,5696000000,5696000000,None,None,None,None,None,None,None,-5696000000,None,-106000000,None,7068000000,GOOGL
2019-06-30,USD,12627000000,396000000,None,1276000000,1057000000,2835000000,6126000000,1146000000,None,9947000000,-10455000000,-4746000000,None,3577000000,3577000000,None,None,None,None,None,None,None,-3577000000,None,3425000000,None,9947000000,GOOGL
2019-03-31,USD,12000000000,374000000,None,-735000000,-907000000,2613000000,4638000000,-1172000000,None,6657000000,-5388000000,-4183000000,None,3025000000,3025000000,None,None,None,None,None,None,None,-3025000000,None,2447000000,18000000,6657000000,GOOGL
2018-12-31,USD,12987000000,None,None,3030000000,2854000000,2580000000,7081000000,2887000000,None,8948000000,-6876000000,-2746000000,None,2650000000,2650000000,None,None,None,None,None,None,None,-2650000000,None,3258000000,-107000000,8948000000,GOOGL
2018-09-30,USD,13210000000,None,None,2150000000,1154000000,2355000000,5282000000,670000000,None,9192000000,-10408000000,-3478000000,None,2200000000,2200000000,None,None,None,None,None,None,None,-2200000000,None,-705000000,-29000000,9192000000,GOOGL
2018-06-30,USD,10132000000,None,None,5762000000,827000000,2114000000,5477000000,312000000,None,3195000000,-3374000000,-4937000000,None,2052000000,2052000000,None,None,None,None,None,None,None,-2052000000,None,1490000000,-331000000,3195000000,GOOGL
2018-03-31,USD,11642000000,None,None,-890000000,-1459000000,1986000000,7299000000,-1700000000,None,9401000000,-7846000000,-2018000000,None,2173000000,2173000000,None,None,None,None,None,None,None,-2173000000,None,1943000000,165000000,9401000000,GOOGL
2017-12-31,USD,10268000000,None,None,2605000000,3127000000,2026000000,4307000000,3049000000,None,-3083000000,-6974000000,-3178000000,None,2101000000,2101000000,None,None,None,None,None,None,None,-2101000000,None,134000000,18000000,-3020000000,GOOGL
2017-09-30,USD,9872000000,None,None,1406000000,3236000000,1761000000,3538000000,1150000000,None,6701000000,-14404000000,-706000000,None,0,0,None,None,None,None,None,None,None,0,None,-5130000000,108000000,6732000000,GOOGL
2017-06-30,USD,7403000000,None,None,3655000000,836000000,1625000000,2831000000,836000000,None,3511000000,-7172000000,-2740000000,None,1618000000,1618000000,None,None,None,None,None,None,None,-1618000000,None,-2421000000,88000000,3524000000,GOOGL
2017-03-31,USD,9548000000,None,None,-1654000000,-1267000000,1503000000,2508000000,-1267000000,None,5377000000,-2851000000,-1674000000,None,1127000000,1127000000,None,None,None,None,None,None,None,-1127000000,None,5214000000,191000000,5426000000,GOOGL
2016-12-31,USD,9413000000,18000000,None,1230000000,2279000000,1687000000,3078000000,2279000000,None,5340000000,-4702000000,-892000000,None,0,0,None,None,None,None,None,None,None,298000000,None,3512000000,-307000000,5333000000,GOOGL
2021-09-30,USD,7313000000,1933000000,None,4170000000,7059000000,8948000000,15748000000,-4890000000,7059000000,3156000000,-14828000000,-2776000000,270000000,None,None,None,None,None,None,None,176000000,None,None,None,-10490000000,-199000000,3156000000,AMZN
2021-06-30,USD,12715000000,1706000000,None,203000000,209000000,8038000000,14288000000,-4462000000,209000000,7778000000,-22080000000,15643000000,0,None,None,None,None,None,None,None,18516000000,None,None,None,6512000000,234000000,7778000000,AMZN
2021-03-31,USD,4213000000,1797000000,None,-7366000000,304000000,7508000000,12082000000,-2255000000,304000000,8107000000,-8666000000,-3476000000,-75000000,0,0,None,None,None,None,None,111000000,None,0,None,-8222000000,-293000000,8107000000,AMZN
2020-12-31,USD,30431000000,1328000000,None,13582000000,-329000000,7618000000,14823000000,-4561000000,-329000000,7199000000,-17037000000,-1816000000,0,0,0,None,None,None,None,None,531000000,None,0,None,7199000000,597000000,7222000000,AMZN
2020-09-30,USD,11964000000,1314000000,None,3736000000,3899000000,6523000000,11063000000,-2016000000,3899000000,6331000000,-15876000000,-4105000000,-38000000,0,0,None,None,None,None,None,0,None,0,None,-7640000000,377000000,6331000000,AMZN
2020-06-30,USD,20606000000,1247000000,None,8863000000,672000000,5748000000,7459000000,-2854000000,672000000,5243000000,-17804000000,7408000000,527000000,0,0,None,None,None,None,None,9918000000,None,0,None,10337000000,127000000,5243000000,AMZN
2020-03-31,USD,3064000000,1197000000,None,-7437000000,-1392000000,5362000000,6795000000,1262000000,-1392000000,2535000000,-8894000000,-2591000000,-14000000,0,0,None,None,None,None,None,693000000,None,0,None,-8905000000,-484000000,2535000000,AMZN
2019-12-31,USD,19659000000,1107000000,None,11169000000,1516000000,6170000000,5312000000,-3905000000,1516000000,3267000000,-3536000000,-3571000000,0,0,0,None,None,None,None,None,1098000000,None,0,None,3267000000,304000000,3268000000,AMZN
2019-09-30,USD,7892000000,1039000000,None,173000000,381000000,5563000000,4697000000,-1182000000,381000000,2134000000,-5074000000,-1960000000,74000000,0,0,None,None,None,None,None,702000000,None,0,None,589000000,-269000000,2134000000,AMZN
2019-06-30,USD,9118000000,988000000,None,4058000000,2100000000,5202000000,3562000000,-2193000000,2100000000,2625000000,-7549000000,-2158000000,149000000,0,0,None,None,None,None,None,283000000,None,0,None,-542000000,47000000,2625000000,AMZN
2019-03-31,USD,1846000000,874000000,None,-5496000000,-719000000,4854000000,3290000000,-401000000,-719000000,3561000000,-8123000000,-2377000000,-205000000,0,0,None,None,None,None,None,190000000,None,0,None,-8666000000,-12000000,3561000000,AMZN
2018-12-31,USD,16477000000,-277000000,None,7409000000,1350000000,4262000000,3734000000,-1395000000,1350000000,3023000000,-3572000000,-1761000000,None,0,0,None,None,None,None,None,405000000,None,0,None,3023000000,-3000000,3027000000,AMZN
2018-09-30,USD,8588000000,118000000,None,3894000000,1094000000,3778000000,3352000000,-2884000000,1094000000,2883000000,-5572000000,-2369000000,None,0,0,None,None,None,None,None,143000000,None,0,None,496000000,-151000000,2883000000,AMZN
2018-06-30,USD,7449000000,85000000,None,2420000000,1090000000,3630000000,3243000000,-1365000000,1090000000,2534000000,-2692000000,-1394000000,None,0,0,None,None,None,None,None,96000000,None,0,None,2920000000,-443000000,2534000000,AMZN
2018-03-31,USD,-1791000000,74000000,None,-9310000000,-2220000000,3671000000,3098000000,1029000000,-2220000000,1629000000,-533000000,-2164000000,None,0,0,None,None,None,None,None,125000000,None,0,None,-4240000000,248000000,1629000000,AMZN
2017-12-31,USD,12358000000,None,None,-1218000000,2255000000,3498000000,3619000000,-2781000000,2255000000,1856000000,-1981000000,-2571000000,None,0,0,None,None,None,None,None,61000000,None,0,None,7755000000,90000000,1856000000,AMZN
2017-09-30,USD,3777000000,None,None,6808000000,1593000000,2912000000,3074000000,-1757000000,1593000000,256000000,-18478000000,14662000000,None,0,0,None,None,None,None,None,16080000000,None,0,None,-436000000,148000000,256000000,AMZN
2017-06-30,USD,3850000000,None,None,5135000000,682000000,2633000000,3401000000,-1242000000,682000000,197000000,-5274000000,-1274000000,None,0,0,None,None,None,None,None,66000000,None,0,None,-2237000000,248000000,197000000,AMZN
2017-03-31,USD,-1619000000,4000000,None,-2811000000,-947000000,2435000000,1861000000,994000000,-947000000,724000000,-1350000000,-888000000,None,0,0,None,None,None,None,None,24000000,None,0,None,-3894000000,224000000,724000000,AMZN
2016-12-31,USD,10919000000,480000000,None,11257000000,1043000000,2297000000,3073000000,-1924000000,1043000000,752000000,-3814000000,-568000000,None,0,0,None,None,None,None,None,538000000,None,0,None,5678000000,-544000000,749000000,AMZN
2021-09-30,USD,3147000000,None,None,1545000000,964000000,496000000,1819000000,-135000000,488000000,1659000000,-1855000000,-1381000000,None,None,None,None,None,None,None,0,None,None,192000000,None,2154000000,None,1618000000,TSLA
2021-06-30,USD,2124000000,None,None,1061000000,1831000000,462000000,1505000000,307000000,793000000,1178000000,-1515000000,-1549000000,None,None,None,None,None,None,None,0,None,None,70000000,None,1639000000,None,1142000000,TSLA
2021-03-31,USD,1641000000,None,None,857000000,-441000000,426000000,2848000000,-24000000,-106000000,464000000,-2582000000,-1016000000,0,None,0,None,None,None,None,0,0,0,183000000,None,-1957000000,None,438000000,TSLA
2020-12-31,USD,3019000000,None,None,1774000000,122000000,875000000,1156000000,102000000,-180000000,296000000,-1047000000,2692000000,0,None,0,None,None,None,None,4987000000,0,0,5043000000,None,2066000000,None,270000000,TSLA
2020-09-30,USD,2400000000,None,None,1424000000,459000000,455000000,1010000000,314000000,67000000,369000000,-1039000000,4450000000,0,None,0,None,None,None,None,4973000000,0,0,5117000000,None,772000000,None,331000000,TSLA
2020-06-30,USD,964000000,None,None,-51000000,-21000000,402000000,546000000,222000000,1516000000,129000000,-566000000,123000000,0,None,0,None,None,None,None,0,0,0,57000000,None,485000000,None,104000000,TSLA
2020-03-31,USD,-440000000,None,None,-229000000,1109000000,417000000,455000000,14000000,-981000000,68000000,-480000000,2708000000,0,None,0,None,None,None,None,2309000000,0,0,2469000000,None,1788000000,None,16000000,TSLA
2019-12-31,USD,1425000000,671000000,None,654000000,144000000,566000000,412000000,217000000,-56000000,132000000,-403000000,-79000000,0,None,0,None,None,None,None,0,0,0,96000000,None,1391000000,None,105000000,TSLA
2019-09-30,USD,756000000,None,None,296631000,207284000,476000000,385058000,-18312000,133000000,150000000,-486000000,118000000,0,None,0,None,None,None,None,0,0,-432000,70751000,None,503000000,None,143000000,TSLA
2019-06-30,USD,864000000,None,None,331084000,-309115000,369537000,255010000,68672000,-457000000,-389000000,-241000000,2143000000,0,None,0,None,63502000,63502000,None,0,0,0,1040296000,None,-54662000,None,-408000000,TSLA
2019-03-31,USD,-640000000,None,None,310285000,926831000,339508000,279932000,99640000,809000000,-668000000,-306000000,-653000000,0,None,0,None,85257000,85257000,None,0,0,0,77953000,None,-1598468000,None,-702000000,TSLA
2018-12-31,USD,1235000000,None,None,302831000,-226125000,471730000,324978000,-189371000,-88000000,210000000,-365000000,-112000000,0,None,6000,None,None,None,None,0,0,0,75771000,None,1442900000,None,140000000,TSLA
2018-09-30,USD,1391040000,26200000,None,1052082000,578987000,300000000,510271000,587594000,55444000,254000000,-560546000,-84282000,0,None,0,None,None,None,None,0,0,0,94869000,None,528473000,None,311000000,TSLA
