1m,reportedEPS,totalNonCurrentAssets,depreciation,proceedsFromRepaymentsOfShortTermDebt,currentAccountsPayable,symbol
0.05744515511985182,0.05527638190954787,0.005212889026833256,0.024739183190824743,-4.343345848977889,0.01623270508770025,MCD
-0.017731239092495632,0.07792207792207795,0.02190454231035277,0.016393442622950838,-0.970193740685544,0.013937282229965264,ITW
0.0449076954988592,-0.06060606060606066,0.0009900429961529067,-0.0057636887608069065,-6.0261173041099205,0.06180469715698389,CSX
0.06479224226664493,0.10374639769452454,-0.024971287940935172,0.024739183190824743,-6.0261173041099205,-0.05785123966942152,AMGN
-0.03390827126617024,0.0,0.01794910990980969,0.024739183190824743,-6.0261173041099205,0.052296651101725475,RIO
0.009818923743942776,-0.13861386138613863,-0.0004507346975569648,0.0,-2.7272727272727275,-0.058131299373467726,TMUS
0.12853622474125181,0.7309941520467838,-0.012625804046756617,0.024739183190824743,-8.841068917018283,0.040016305455533585,CVX
-0.025567144190576596,0.16981132075471694,0.023422459893048142,0.024739183190824743,1.1880000000000002,-0.014299332697807476,FDX
-0.027491408934707806,-0.17948717948717952,-0.13416722686385607,0.024739183190824743,-1.2208413001912046,0.08773562950895974,PFE
0.10372457814144576,-0.14948453608247425,0.011328235627301009,0.06321839080459779,-2.041666666666667,0.4154770848985725,FB
-0.0015521255497110698,0.034482758620689724,0.006464984503051774,0.005714285714285783,-6.0261173041099205,0.012077294685990392,UNP
-0.8091143026810654,-0.29092177552978116,-0.06324490753256917,0.024739183190824743,-6.0261173041099205,0.052296651101725475,NTES
0.03330919623461259,0.15384615384615374,0.0523146405720738,0.024739183190824743,-6.0261173041099205,0.052296651101725475,INFY
-0.15107913669064754,-0.12499999999999989,-0.006608893557423001,0.024739183190824743,-6.0261173041099205,0.052296651101725475,ABB
0.08688812806514301,104.62251949273137,78.01866746218563,0.024739183190824743,-6.0261173041099205,0.052296651101725475,NSC
0.05459334344321176,-0.15181818181818185,0.046948836206652134,-0.3717948717948718,-6.0261173041099205,-0.18062544931703806,TMUS
0.06141493055555558,0.07079646017699126,-0.0033896495582779185,0.024739183190824743,-0.6481675392670156,0.052296651101725475,WFC
0.1147635524798154,0.011560693641618602,0.16291021406203088,0.024739183190824743,-28.538582677165355,-0.14061054579093435,LLY
-0.05930685768460986,-0.03105590062111807,0.003980752405949195,0.024739183190824743,-6.0261173041099205,0.052296651101725475,COF
0.17779291553133514,0.11111111111111116,0.15541952645186963,0.024739183190824743,0.005627084231611068,0.052296651101725475,PLD
-0.05504132231404968,0.03125,0.0627066674682859,-0.002873563218390829,-6.0261173041099205,-0.2236084452975048,CSX
-0.003319502074688674,2.054726368159204,-0.010563322222549743,0.024739183190824743,-6.0261173041099205,0.052296651101725475,PTR
-0.028427902728622056,0.20940170940170955,-0.012956639693156857,0.17449664429530198,-6.0261173041099205,0.0,ABBV
0.12572287763127465,0.37815126050420167,0.07899526756461595,0.10227272727272729,-6.0261173041099205,0.052296651101725475,MMC
0.02666018699776873,0.11442786069651767,0.4926718200071569,0.024739183190824743,-6.0261173041099205,0.052296651101725475,SHOP
0.07904018640875865,0.03689615823507042,0.009296322079127561,0.024739183190824743,-6.0261173041099205,-0.019370964382420364,GOOG
0.009152043293144008,0.0,0.0,0.024739183190824743,-6.0261173041099205,0.0,CRWD
0.20288507098608366,-0.5873759339801494,-0.20478359908883825,0.005870841487279899,-6.0261173041099205,-0.18365817091454273,ISRG
0.056000557219474834,0.016949152542372836,-0.021036279873039687,-0.029781363404612682,-2.529918509177353,0.05257307991552729,SHW
0.05264714581484764,104.62251949273137,78.01866746218563,0.024739183190824743,-6.0261173041099205,0.052296651101725475,MO
-0.05444548746144551,-0.2703862660944206,-0.01643200376356735,0.024739183190824743,-6.0261173041099205,-0.037934803574873,BA
0.07081507449605629,0.10268059972739674,78.01866746218563,0.024739183190824743,-6.0261173041099205,0.052296651101725475,HDB
0.14420803782505898,0.22340425531914887,0.05328655904778201,0.024739183190824743,-0.9344262295081968,-0.13260767790262173,JNJ
-0.038089691322073294,0.05737704918032782,0.0027515833263378475,0.024739183190824743,-6.0261173041099205,0.052296651101725475,NVS
0.055936325447711654,0.11115646258503409,-0.017547806524184528,0.024739183190824743,5.054644808743169,0.052296651101725475,AXP
-0.05903398926654746,-2.3207547169811322,0.009569471944494534,0.024739183190824743,-0.9445531637312459,0.0,XOM
-0.006308526367668876,0.0,0.0,0.0,-6.0261173041099205,0.0,SNOW
-0.7362372099726185,0.019157088122605526,0.026018534708865282,0.024739183190824743,-0.8742836676217765,0.12127236580516909,NEE
-0.0043427392968331535,0.04785894206549113,0.0809665317685564,0.024138702715414295,-6.0261173041099205,0.0,EQIX
0.3992814985886579,1.0571428571428574,0.10341814443587771,0.024739183190824743,-6.0261173041099205,0.0,CRM
0.08457173736827883,104.62251949273137,78.01866746218563,0.024739183190824743,-6.0261173041099205,0.052296651101725475,HCA
0.001769687776513651,0.4725274725274726,-0.4658392577418966,0.024739183190824743,-1.6629098360655736,0.052296651101725475,AXP
-0.0129656307882281,0.0,-0.0049288297732275055,0.0030842860941238115,-6.0261173041099205,-0.04410439833801716,ADI
0.11211118464592973,-0.48,0.1194486059154043,0.024739183190824743,-6.0261173041099205,0.052296651101725475,RBLX
-0.09799476896251103,-0.3787878787878789,0.009152304683175183,0.03296703296703307,-1.0,0.052296651101725475,MMC
-0.0328090647725352,0.0714285714285714,-0.01193780870834471,0.024739183190824743,-6.0261173041099205,-0.010757743362831862,VZ
